ticker,listing_date
6515.TW,2021-01-20
7769.TW,2025-11-27
6669.TW,2019-03-27
3653.TW,2009-11-18
2059.TW,2008-06-25
3661.TW,2014-10-28
2383.TW,1998-11-27
3008.TW,2002-03-11
3443.TW,2006-11-03
2330.TW,1994-09-05
6805.TW,2023-11-09
2454.TW,2001-07-23
6442.TW,2015-07-14
3017.TW,2002-09-27
3533.TW,2007-12-10
3665.TW,2011-04-21
2345.TW,1995-11-15
2360.TW,1996-12-21
2308.TW,1988-12-19
7750.TW,2025-09-17
5269.TW,2012-12-12
2404.TW,2000-03-14
6781.TW,2021-03-22
1590.TW,2010-12-13
1519.TW,1997-04-16
8210.TW,2011-12-01
6409.TW,2014-03-31
2368.TW,1998-03-09
8996.TW,2014-02-14
6944.TW,2025-05-28
6446.TW,2024-01-25
4583.TW,2022-05-09
6691.TW,2022-01-03
3563.TW,2019-04-02
6949.TW,2024-03-08
2357.TW,1996-11-14
6139.TW,2003-08-25
2207.TW,1997-02-25
6526.TW,2023-10-19
1560.TW,2005-01-31
2379.TW,1998-10-26
6472.TW,2023-12-19
00631L.TW,
8046.TW,2006-04-07
6531.TW,2016-05-31
3037.TW,2002-08-26
7799.TW,2025-09-15
3406.TW,2005-12-20
7749.TW,2025-06-13
7795.TW,2026-01-16
3034.TW,2002-08-26
6830.TW,2022-08-31
1476.TW,2001-04-18
5234.TW,2012-07-16
8464.TW,2015-12-22
7722.TW,2024-12-05
3044.TW,2002-08-26
2467.TW,2001-09-17
3583.TW,2013-03-12
2395.TW,1999-12-13
3711.TW,2018-04-30
6789.TW,2022-06-30
5434.TW,2003-08-25
7610.TW,2025-09-09
3413.TW,2015-07-28
4766.TW,2018-11-28
4585.TW,2025-09-26
3167.TW,2013-10-21
2449.TW,2001-05-09
1477.TW,2003-01-21
2382.TW,1999-01-08
6831.TW,2025-11-25
6491.TW,2019-10-07
3189.TW,2004-11-01
5284.TW,2017-03-09
6414.TW,2014-03-28
6196.TW,2004-05-24
6670.TW,2018-12-18
8499.TW,2017-11-24
1795.TW,2019-12-16
2327.TW,1993-10-22
6715.TW,2019-12-12
6415.TW,2013-12-12
6937.TW,2023-12-12
3450.TW,2006-04-12
3030.TW,2002-10-29
4770.TW,2021-12-22
7765.TW,2025-09-08
2247.TW,2020-10-12
2049.TW,2009-06-26
8081.TW,2008-12-30
2408.TW,2000-08-17
2727.TW,2012-03-06
8021.TW,2008-01-21
3023.TW,2002-08-26
3130.TW,2006-02-17
3036.TW,2002-08-26
0057.TW,
2376.TW,1998-09-24
2451.TW,2001-05-03
5274.TWO,2013-04-30
6510.TWO,2016-03-24
6223.TWO,2003-01-06
3529.TWO,2011-01-24
3131.TWO,2011-01-17
8299.TWO,2004-12-06
7734.TWO,2025-02-26
3081.TWO,2015-07-22
7751.TWO,2025-08-26
3491.TWO,2008-01-03
6683.TWO,2019-04-23
3324.TWO,2005-05-13
6739.TWO,2024-09-02
4749.TWO,2025-01-17
5289.TWO,2013-11-27
6640.TWO,2018-10-23
3293.TWO,2006-07-12
3163.TWO,2012-12-03
5536.TWO,2010-11-10
7728.TWO,2025-03-06
7805.TWO,2025-12-22
3363.TWO,2011-02-25
7717.TWO,2025-11-17
6187.TWO,2002-09-27
4966.TWO,2011-09-13
5904.TWO,2002-09-06
6274.TWO,2003-12-18
4971.TWO,2013-07-24
7744.TWO,2025-11-27
6643.TWO,2019-01-23
6488.TWO,2015-09-25
4768.TWO,2022-04-13
3693.TWO,2013-11-27
3680.TWO,2011-08-31
6584.TWO,2023-05-18
6561.TWO,2018-06-05
4979.TWO,2011-12-12
6788.TWO,2021-09-29
6121.TWO,2001-11-27
7792.TWO,2026-01-28
3260.TWO,2004-10-08
4772.TWO,2024-09-20
5386.TWO,1999-05-13
3211.TWO,2004-11-08
4991.TWO,2014-09-15
6894.TWO,2023-11-29
6803.TWO,2010-05-27
3526.TWO,2007-11-02
1264.TWO,2015-04-09
6903.TWO,2024-06-12
3105.TWO,2011-12-13
6291.TWO,2004-01-28
5439.TWO,2000-06-26
6664.TWO,2018-09-12
6667.TWO,2018-11-13
6679.TWO,2019-05-09
6725.TWO,2025-12-30
6881.TWO,2024-05-21
8358.TWO,2010-09-27
6138.TWO,2002-01-18
6953.TWO,2024-05-13
3086.TWO,2004-03-29
2752.TWO,2019-09-25
6290.TWO,2005-06-03
6727.TWO,2020-12-01
6146.TWO,2002-01-23
7703.TWO,2024-11-13
6231.TWO,2003-01-23
8155.TWO,2012-12-18
6785.TWO,2024-01-24
5903.TWO,2002-02-25
6613.TWO,2017-12-28
3611.TWO,2008-11-26
6811.TWO,2022-08-09
3227.TWO,2006-05-04
6870.TWO,2023-09-14
3587.TWO,2009-08-18
5475.TWO,2001-01-16
3551.TWO,2008-04-15
3147.TWO,2018-05-29
7810.TWO,2025-12-23
7556.TWO,2020-10-30
6996.TWO,2024-12-10
3570.TWO,2008-10-23
4760.TWO,2019-03-21
3675.TWO,2012-06-29
6568.TWO,2016-12-28
3374.TWO,2015-03-30
7738.TWO,2025-10-16
8083.TWO,2004-09-23
8416.TWO,2012-09-19
6732.TWO,2020-06-08
2729.TWO,2012-09-17
6720.TWO,2024-12-04
5209.TWO,2002-02-25
6690.TWO,2019-10-30
6762.TWO,2020-12-18
5287.TWO,2014-01-20
8069.TWO,2004-03-30
1268.TWO,2017-09-27
