ticker,market_cap,recorded_on
6515.TW,238055030784,2026-04-06
7769.TW,689928011776,2026-04-06
3653.TW,544378683392,2026-04-06
6669.TW,633717063680,2026-04-06
2059.TW,318768480256,2026-04-06
2383.TW,997923946496,2026-04-06
3661.TW,219873214464,2026-04-06
3443.TW,310905503744,2026-04-06
3008.TW,279908155392,2026-04-06
3017.TW,811810160640,2026-04-06
3533.TW,228904386560,2026-04-06
6442.TW,155746582528,2026-04-06
3665.TW,373348401152,2026-04-06
6805.TW,129224286208,2026-04-06
2330.TW,46937868861440,2026-04-06
7822.TW,73580634112,2026-04-06
2345.TW,888663769088,2026-04-06
2360.TW,650236985344,2026-04-06
2454.TW,2338301411328,2026-04-06
2308.TW,3714487156736,2026-04-06
7750.TW,96142319616,2026-04-06
5269.TW,78960459776,2026-04-06
1590.TW,199199997952,2026-04-06
6781.TW,81745985536,2026-04-06
2368.TW,452480991232,2026-04-06
8996.TW,80440516608,2026-04-06
8210.TW,105393397760,2026-04-06
2404.TW,156587081728,2026-04-06
1519.TW,251757150208,2026-04-06
6944.TW,59816570880,2026-04-06
3563.TW,49569665024,2026-04-06
6409.TW,64818282496,2026-04-06
4583.TW,50668294144,2026-04-06
6446.TW,234573365248,2026-04-06
8046.TW,367022014464,2026-04-06
6830.TW,29256830976,2026-04-06
6949.TW,36458373120,2026-04-06
6691.TW,67654918144,2026-04-06
2357.TW,412231925760,2026-04-06
6139.TW,122606927872,2026-04-06
3037.TW,817211310080,2026-04-06
2379.TW,251569848320,2026-04-06
2207.TW,270473396224,2026-04-06
6526.TW,79816392704,2026-04-06
3583.TW,37032591360,2026-04-06
6472.TW,57161084928,2026-04-06
3167.TW,39429050368,2026-04-06
3406.TW,50057891840,2026-04-06
1560.TW,65250357248,2026-04-06
6531.TW,71591518208,2026-04-06
2467.TW,59723689984,2026-04-06
6831.TW,26169915392,2026-04-06
3034.TW,232451588096,2026-04-06
7610.TW,18370799616,2026-04-06
3711.TW,1579046010880,2026-04-06
5234.TW,36669612032,2026-04-06
7749.TW,16502433792,2026-04-06
3044.TW,182122479616,2026-04-06
7799.TW,53767348224,2026-04-06
8464.TW,98747801600,2026-04-06
3189.TW,177047126016,2026-04-06
5434.TW,63765684224,2026-04-06
2395.TW,280096014336,2026-04-06
1476.TW,88483389440,2026-04-06
7795.TW,25422190592,2026-04-06
6789.TW,101278556160,2026-04-06
6715.TW,20604637184,2026-04-06
4766.TW,37135560704,2026-04-06
7722.TW,20400001024,2026-04-06
6451.TW,31374358528,2026-04-06
3413.TW,32232169472,2026-04-06
6491.TW,22620000256,2026-04-06
4585.TW,29918173184,2026-04-06
2382.TW,1096610480128,2026-04-06
6196.TW,61643378688,2026-04-06
6415.TW,106329808896,2026-04-06
5284.TW,14465961984,2026-04-06
6414.TW,39754043392,2026-04-06
7711.TW,18973693952,2026-04-06
3023.TW,62658011136,2026-04-06
2313.TW,309873344512,2026-04-06
2449.TW,316690956288,2026-04-06
2455.TW,47628525568,2026-04-06
6670.TW,35822452736,2026-04-06
8499.TW,10456051712,2026-04-06
3030.TW,58463461376,2026-04-06
2327.TW,506816757760,2026-04-06
8021.TW,35172798464,2026-04-06
3450.TW,35109117952,2026-04-06
6937.TW,16227801088,2026-04-06
2247.TW,18966614016,2026-04-06
2451.TW,100353490944,2026-04-06
8081.TW,19760533504,2026-04-06
2049.TW,80664633344,2026-04-06
2376.TW,152734662656,2026-04-06
2727.TW,18850422784,2026-04-06
2912.TW,235994251264,2026-04-06
3036.TW,283456503808,2026-04-06
3130.TW,7335144448,2026-04-06
7765.TW,8948939776,2026-04-06
5274.TWO,441913376768,2026-04-06
6223.TWO,368899653632,2026-04-06
6510.TWO,103777181696,2026-04-06
3131.TWO,88732442624,2026-04-06
3529.TWO,196426809344,2026-04-06
7734.TWO,65212502016,2026-04-06
3081.TWO,168851505152,2026-04-06
7751.TWO,44769517568,2026-04-06
8299.TWO,338929352704,2026-04-06
3491.TWO,102863478784,2026-04-06
6683.TWO,39957880832,2026-04-06
6640.TWO,38926938112,2026-04-06
6739.TWO,30102794240,2026-04-06
5289.TWO,91910971392,2026-04-06
3163.TWO,76675031040,2026-04-06
3324.TWO,82934358016,2026-04-06
6187.TWO,86176686080,2026-04-06
4749.TWO,74279133184,2026-04-06
3293.TWO,212760182784,2026-04-06
7728.TWO,10210456576,2026-04-06
7717.TWO,18112497664,2026-04-06
5536.TWO,86732570624,2026-04-06
7805.TWO,22326249472,2026-04-06
6274.TWO,179282706432,2026-04-06
3363.TWO,68184342528,2026-04-06
6584.TWO,39695622144,2026-04-06
4971.TWO,22551959552,2026-04-06
5904.TWO,52955803648,2026-04-06
3693.TWO,20442075136,2026-04-06
6643.TWO,19683637248,2026-04-06
4966.TWO,35616542720,2026-04-06
7744.TWO,14032000000,2026-04-06
4991.TWO,52169719808,2026-04-06
4768.TWO,20467314688,2026-04-06
6488.TWO,195787571200,2026-04-06
4728.TWO,20941023232,2026-04-06
4979.TWO,54082478080,2026-04-06
3105.TWO,159401590784,2026-04-06
3680.TWO,36015374336,2026-04-06
6788.TWO,14469271552,2026-04-06
3260.TWO,114950152192,2026-04-06
6727.TWO,9624471552,2026-04-06
6664.TWO,21556080640,2026-04-06
6291.TWO,18356000768,2026-04-06
6561.TWO,27026483200,2026-04-06
6121.TWO,62982459392,2026-04-06
3211.TWO,51241136128,2026-04-06
6894.TWO,7437499904,2026-04-06
7792.TWO,14418557952,2026-04-06
3086.TWO,8372212736,2026-04-06
6803.TWO,20963141632,2026-04-06
1264.TWO,10356136960,2026-04-06
3526.TWO,18252468224,2026-04-06
6903.TWO,18371592192,2026-04-06
4772.TWO,40907788288,2026-04-06
5439.TWO,25707794432,2026-04-06
5386.TWO,9958323200,2026-04-06
6231.TWO,12280437760,2026-04-06
6725.TWO,9728060416,2026-04-06
8155.TWO,14515368960,2026-04-06
5475.TWO,31336808448,2026-04-06
6679.TWO,13028753408,2026-04-06
6667.TWO,11629815808,2026-04-06
6881.TWO,3540000000,2026-04-06
7810.TWO,4697999872,2026-04-06
8358.TWO,58072932352,2026-04-06
3587.TWO,15265916928,2026-04-06
7703.TWO,7782880256,2026-04-06
6568.TWO,6551162368,2026-04-06
6138.TWO,15506561024,2026-04-06
6613.TWO,16221508608,2026-04-06
6953.TWO,6243036672,2026-04-06
2752.TWO,5538976256,2026-04-06
6217.TWO,21948274688,2026-04-06
6290.TWO,32348350464,2026-04-06
5903.TWO,42411798528,2026-04-06
6146.TWO,19354767360,2026-04-06
4760.TWO,6073281536,2026-04-06
3611.TWO,8832209920,2026-04-06
6870.TWO,4307668992,2026-04-06
7738.TWO,5019789312,2026-04-06
6811.TWO,7585166848,2026-04-06
3675.TWO,9576954880,2026-04-06
3227.TWO,27101308928,2026-04-06
6895.TWO,6120949760,2026-04-06
2640.TWO,10608435200,2026-04-06
2729.TWO,7375644672,2026-04-06
7556.TWO,4699039744,2026-04-06
8416.TWO,4739447808,2026-04-06
5287.TWO,10071862272,2026-04-06
6785.TWO,11155600384,2026-04-06
6996.TWO,6972884992,2026-04-06
3551.TWO,10217454592,2026-04-06
5209.TWO,4704668672,2026-04-06
6720.TWO,4945997312,2026-04-06
8083.TWO,5796976640,2026-04-06
3570.TWO,2812456448,2026-04-06
6690.TWO,4889954304,2026-04-06
3264.TWO,76301123584,2026-04-06
8091.TWO,8467998208,2026-04-06
