ticker,market_cap,recorded_on
2059.TW,388811751424.0,2025-11-07
6669.TW,757301182464.0,2025-11-07
3661.TW,288747945984.0,2025-11-07
6515.TW,85797060608.0,2025-11-07
3008.TW,316935176192.0,2025-11-07
3653.TW,311569973248.0,2025-11-07
3443.TW,230498926592.0,2025-11-07
3017.TW,568683134976.0,2025-11-07
2330.TW,37861617303552.0,2025-11-07
3665.TW,274466734080.0,2025-11-07
5269.TW,105273491456.0,2025-11-07
6805.TW,95975596032.0,2025-11-07
2383.TW,489823633408.0,2025-11-07
3533.TW,150550806528.0,2025-11-07
2454.TW,2011120926720.0,2025-11-07
6409.TW,107445731328.0,2025-11-07
6781.TW,101648613376.0,2025-11-07
8210.TW,126572339200.0,2025-11-07
2345.TW,561702567936.0,2025-11-07
1590.TW,193999994880.0,2025-11-07
2308.TW,2506629316608.0,2025-11-07
6442.TW,67310575616.0,2025-11-07
7750.TW,60698808320.0,2025-11-07
2404.TW,150869360640.0,2025-11-07
1519.TW,235646763008.0,2025-11-07
2360.TW,313901809664.0,2025-11-07
2357.TW,493192806400.0,2025-11-07
7799.TW,100020117504.0,2025-11-07
6472.TW,77201588224.0,2025-11-07
8996.TW,56584585216.0,2025-11-07
4583.TW,48182980608.0,2025-11-07
6944.TW,45098213376.0,2025-11-07
2207.TW,324790910976.0,2025-11-07
7722.TW,38351998976.0,2025-11-07
2379.TW,259508682752.0,2025-11-07
6446.TW,185293750272.0,2025-11-07
3563.TW,31756564480.0,2025-11-07
7749.TW,22638548992.0,2025-11-07
6526.TW,79565135872.0,2025-11-07
6139.TW,110450532352.0,2025-11-07
2368.TW,226067038208.0,2025-11-07
6691.TW,55414235136.0,2025-11-07
1476.TW,122779279360.0,2025-11-07
3406.TW,48197632000.0,2025-11-07
6531.TW,65853808640.0,2025-11-07
4585.TW,40246198272.0,2025-11-07
3034.TW,231538819072.0,2025-11-07
6949.TW,21740294144.0,2025-11-07
8464.TW,108417474560.0,2025-11-07
5234.TW,37748129792.0,2025-11-07
4766.TW,42621493248.0,2025-11-07
3583.TW,27030372352.0,2025-11-07
6491.TW,26208000000.0,2025-11-07
00631L.TW,,2025-11-07
5434.TW,63334535168.0,2025-11-07
3413.TW,35485224960.0,2025-11-07
3044.TW,168193916928.0,2025-11-07
2395.TW,262585171968.0,2025-11-07
1560.TW,44179873792.0,2025-11-07
3515.TW,37252231168.0,2025-11-07
1477.TW,72774647808.0,2025-11-07
4441.TW,19997292544.0,2025-11-07
5284.TW,14947620864.0,2025-11-07
2247.TW,23445964800.0,2025-11-07
7765.TW,11816668160.0,2025-11-07
2382.TW,1106246762496.0,2025-11-07
6414.TW,38992506880.0,2025-11-07
1795.TW,73028198400.0,2025-11-07
8046.TW,176403185664.0,2025-11-07
2376.TW,181539897344.0,2025-11-07
8499.TW,10929455104.0,2025-11-07
6533.TW,13311894528.0,2025-11-07
3450.TW,37877059584.0,2025-11-07
0052.TW,,2025-11-07
6670.TW,34498277376.0,2025-11-07
8454.TW,65051430912.0,2025-11-07
2317.TW,3389213376512.0,2025-11-07
6196.TW,49606746112.0,2025-11-07
6789.TW,77233577984.0,2025-11-07
6937.TW,16276197376.0,2025-11-07
4770.TW,19154251776.0,2025-11-07
3617.TW,22317342720.0,2025-11-07
2912.TW,245350858752.0,2025-11-07
2327.TW,485976539136.0,2025-11-07
3592.TW,17370847232.0,2025-11-07
3711.TW,996991434752.0,2025-11-07
3130.TW,7501097984.0,2025-11-07
8081.TW,19289024512.0,2025-11-07
3023.TW,53775458304.0,2025-11-07
6957.TW,12281696256.0,2025-11-07
6890.TW,55366799360.0,2025-11-07
6415.TW,85228658688.0,2025-11-07
2727.TW,18063261696.0,2025-11-07
2049.TW,75711545344.0,2025-11-07
2449.TW,261056053248.0,2025-11-07
2233.TW,12449489920.0,2025-11-07
7740.TW,10852800512.0,2025-11-07
6933.TW,8575267840.0,2025-11-07
2753.TW,13329000448.0,2025-11-07
3376.TW,39152762880.0,2025-11-07
5274.TWO,214908256256.0,2025-11-07
3529.TWO,156469264384.0,2025-11-07
6223.TWO,194892791808.0,2025-11-07
6510.TWO,52626345984.0,2025-11-07
3131.TWO,40025919488.0,2025-11-07
8299.TWO,238654193664.0,2025-11-07
3324.TWO,94567497728.0,2025-11-07
7734.TWO,27722250240.0,2025-11-07
4749.TWO,75670126592.0,2025-11-07
5536.TWO,93681098752.0,2025-11-07
6739.TWO,17333575680.0,2025-11-07
3293.TWO,204587941888.0,2025-11-07
4966.TWO,51206561792.0,2025-11-07
6640.TWO,17469687808.0,2025-11-07
7751.TWO,12368755712.0,2025-11-07
5289.TWO,43159707648.0,2025-11-07
5904.TWO,48325574656.0,2025-11-07
6643.TWO,18220945408.0,2025-11-07
3491.TWO,28562651136.0,2025-11-07
3081.TWO,38812717056.0,2025-11-07
6488.TWO,192440778752.0,2025-11-07
6683.TWO,10973330432.0,2025-11-07
4728.TWO,21295032320.0,2025-11-07
6274.TWO,104964366336.0,2025-11-07
3693.TWO,15820575744.0,2025-11-07
6561.TWO,28298887168.0,2025-11-07
3363.TWO,37310603264.0,2025-11-07
6121.TWO,65572044800.0,2025-11-07
6187.TWO,32032894976.0,2025-11-07
3680.TWO,31500791808.0,2025-11-07
4772.TWO,46076645376.0,2025-11-07
5439.TWO,28729507840.0,2025-11-07
6803.TWO,21527963648.0,2025-11-07
1264.TWO,10967500800.0,2025-11-07
7728.TWO,4066172416.0,2025-11-07
3211.TWO,44462333952.0,2025-11-07
6584.TWO,18983448576.0,2025-11-07
6785.TWO,18770800640.0,2025-11-07
6664.TWO,15698802688.0,2025-11-07
6667.TWO,12812509184.0,2025-11-07
3526.TWO,16381201408.0,2025-11-07
4768.TWO,11777015808.0,2025-11-07
6895.TWO,8422700032.0,2025-11-07
6788.TWO,9336263680.0,2025-11-07
6231.TWO,10522828800.0,2025-11-07
6811.TWO,9553994752.0,2025-11-07
3163.TWO,18524430336.0,2025-11-07
6138.TWO,17133780992.0,2025-11-07
3227.TWO,33888432128.0,2025-11-07
8358.TWO,55548022784.0,2025-11-07
6894.TWO,5188400128.0,2025-11-07
3086.TWO,5808734208.0,2025-11-07
7703.TWO,7105352704.0,2025-11-07
8069.TWO,231820967936.0,2025-11-07
6535.TWO,33860827136.0,2025-11-07
2752.TWO,5325425152.0,2025-11-07
6762.TWO,6999168512.0,2025-11-07
6747.TWO,5399199744.0,2025-11-07
6679.TWO,10524249088.0,2025-11-07
3611.TWO,9354545152.0,2025-11-07
6953.TWO,5882861568.0,2025-11-07
7738.TWO,5348059136.0,2025-11-07
