ticker,stock,price,recorded_on
6669.TW,緯穎,4450.0,2025-11-27
2059.TW,川湖,3605.0,2025-11-27
3661.TW,世芯-KY,3285.0,2025-11-27
7769.TW,鴻勁,2940.0,2025-11-27
6515.TW,穎崴,2750.0,2025-11-27
3653.TW,健策,2715.0,2025-11-27
3008.TW,大立光,2205.0,2025-11-27
3443.TW,創意,2135.0,2025-11-27
6805.TW,富世達,1560.0,2025-11-27
3665.TW,貿聯-KY,1540.0,2025-11-27
2383.TW,台光電,1495.0,2025-11-27
2330.TW,台積電,1435.0,2025-11-27
3017.TW,奇鋐,1395.0,2025-11-27
2454.TW,聯發科,1340.0,2025-11-27
3533.TW,嘉澤,1305.0,2025-11-27
6781.TW,AES-KY,1280.0,2025-11-27
5269.TW,祥碩,1270.0,2025-11-27
6442.TW,光聖,1255.0,2025-11-27
6409.TW,旭隼,1140.0,2025-11-27
2345.TW,智邦,1030.0,2025-11-27
8210.TW,勤誠,965.0,2025-11-27
2308.TW,台達電,942.0,2025-11-27
1590.TW,亞德客-KY,897.0,2025-11-27
2360.TW,致茂,811.0,2025-11-27
2404.TW,漢唐,791.0,2025-11-27
7750.TW,新代,731.0,2025-11-27
1519.TW,華城,729.0,2025-11-27
2368.TW,金像電,627.0,2025-11-27
4583.TW,台灣精銳,620.0,2025-11-27
2357.TW,華碩,611.0,2025-11-27
2207.TW,和泰車,602.0,2025-11-27
7722.TW,LINEPAY,555.0,2025-11-27
6472.TW,保瑞,548.0,2025-11-27
7799.TW,禾榮科,537.0,2025-11-27
6944.TW,兆聯實業,529.0,2025-11-27
6446.TW,藥華藥,523.0,2025-11-27
2379.TW,瑞昱,521.0,2025-11-27
8996.TW,高力,505.0,2025-11-27
6691.TW,洋基工程,486.0,2025-11-27
3563.TW,牧德,485.0,2025-11-27
6526.TW,達發,449.5,2025-11-27
6139.TW,亞翔,447.0,2025-11-27
3406.TW,玉晶光,445.0,2025-11-27
7749.TW,意騰-KY,438.0,2025-11-27
1476.TW,儒鴻,430.5,2025-11-27
6531.TW,愛普,416.5,2025-11-27
3034.TW,聯詠,393.5,2025-11-27
6949.TW,沛爾生醫-創,381.0,2025-11-27
8464.TW,億豐,377.0,2025-11-27
5234.TW,達興材料,341.5,2025-11-27
00631L.TW,元大台灣50正2,331.75,2025-11-27
4766.TW,南寶,330.5,2025-11-27
1477.TW,聚陽,318.5,2025-11-27
1560.TW,中砂,318.5,2025-11-27
1795.TW,美時,317.5,2025-11-27
3583.TW,辛耘,316.0,2025-11-27
6491.TW,晶碩,313.5,2025-11-27
3044.TW,健鼎,308.5,2025-11-27
4585.TW,達明,303.0,2025-11-27
5434.TW,崇越,301.0,2025-11-27
3413.TW,京鼎,298.5,2025-11-27
6414.TW,樺漢,296.0,2025-11-27
2247.TW,汎德永業,295.0,2025-11-27
2395.TW,研華,288.0,2025-11-27
7765.TW,中華資安,284.0,2025-11-27
5284.TW,jpp-KY,283.5,2025-11-27
2382.TW,廣達,281.5,2025-11-27
6890.TW,來億-KY,280.5,2025-11-27
6533.TW,晶心科,278.0,2025-11-27
4441.TW,振大環球,275.5,2025-11-27
7711.TW,永擎,266.0,2025-11-27
8046.TW,南電,260.5,2025-11-27
8499.TW,鼎炫-KY,258.5,2025-11-27
3515.TW,華擎,252.0,2025-11-27
2376.TW,技嘉,247.0,2025-11-27
3450.TW,聯鈞,245.0,2025-11-27
6789.TW,采鈺,245.0,2025-11-27
6670.TW,復盛應用,240.5,2025-11-27
2912.TW,統一超,239.0,2025-11-27
2327.TW,國巨,236.0,2025-11-27
6196.TW,帆宣,231.5,2025-11-27
2317.TW,鴻海,231.0,2025-11-27
3711.TW,日月光投控,230.5,2025-11-27
8454.TW,富邦媒,228.0,2025-11-27
3130.TW,一零四,225.0,2025-11-27
2449.TW,京元電子,222.0,2025-11-27
3023.TW,信邦,222.0,2025-11-27
6831.TW,邁科,220.0,2025-11-27
3592.TW,瑞鼎,219.0,2025-11-27
6937.TW,天虹,217.5,2025-11-27
